trial,block,type,direction,stimulus,response,accuracy,rt
1,practice,incongruent,left,>><>>,left,1,1091
2,practice,incongruent,left,>><>>,left,1,487
3,practice,congruent,right,>>>>>,right,1,635
4,practice,incongruent,right,<<><<,right,1,579
1,main,congruent,left,<<<<<,left,1,441
2,main,incongruent,right,<<><<,left,0,393
3,main,congruent,left,<<<<<,left,1,426
4,main,incongruent,right,<<><<,right,1,377
5,main,congruent,left,<<<<<,left,1,362
6,main,congruent,right,>>>>>,right,1,314
7,main,congruent,right,>>>>>,right,1,377
8,main,incongruent,right,<<><<,left,0,396
9,main,congruent,right,>>>>>,right,1,442
10,main,incongruent,left,>><>>,left,1,499
11,main,congruent,left,<<<<<,left,1,408
12,main,congruent,right,>>>>>,right,1,378
13,main,congruent,right,>>>>>,right,1,515
14,main,congruent,left,<<<<<,left,1,444
15,main,incongruent,left,>><>>,left,1,651
16,main,incongruent,left,>><>>,right,0,397
17,main,congruent,left,<<<<<,left,1,429
18,main,incongruent,left,>><>>,left,1,492
19,main,incongruent,left,>><>>,left,1,599
20,main,incongruent,right,<<><<,right,1,600
1,practice,congruent,left,<<<<<,left,1,565
2,practice,incongruent,left,>><>>,left,1,777
3,practice,incongruent,right,<<><<,right,1,612
4,practice,incongruent,left,>><>>,left,1,549
1,main,congruent,left,<<<<<,left,1,393
2,main,congruent,left,<<<<<,left,1,376
3,main,incongruent,right,<<><<,right,1,498
4,main,incongruent,right,<<><<,right,1,529
5,main,incongruent,left,>><>>,right,0,429
6,main,congruent,right,>>>>>,right,1,429
7,main,congruent,right,>>>>>,right,1,445
8,main,incongruent,right,<<><<,left,0,345
9,main,congruent,right,>>>>>,right,1,497
10,main,congruent,right,>>>>>,right,1,378
11,main,congruent,left,<<<<<,left,1,429
12,main,incongruent,right,<<><<,right,1,600
13,main,incongruent,right,<<><<,right,1,479
14,main,incongruent,right,<<><<,right,1,648
15,main,congruent,right,>>>>>,right,1,344
16,main,incongruent,right,<<><<,right,1,413
17,main,incongruent,left,>><>>,left,1,560
18,main,congruent,left,<<<<<,left,1,412
19,main,incongruent,left,>><>>,left,1,585
20,main,congruent,left,<<<<<,left,1,378
1,practice,incongruent,left,>><>>,no_response,0,
2,practice,congruent,right,>>>>>,no_response,0,
3,practice,congruent,right,>>>>>,right,1,1693
4,practice,incongruent,left,>><>>,left,1,581
1,main,congruent,left,<<<<<,left,1,481
2,main,congruent,left,<<<<<,left,1,368
3,main,congruent,left,<<<<<,left,1,379
4,main,incongruent,right,<<><<,right,1,445
5,main,congruent,left,<<<<<,left,1,430
6,main,incongruent,right,<<><<,right,1,617
7,main,incongruent,left,>><>>,left,1,411
8,main,incongruent,right,<<><<,right,1,414
9,main,incongruent,right,<<><<,right,1,411
10,main,congruent,left,<<<<<,left,1,377
11,main,congruent,left,<<<<<,left,1,375
12,main,congruent,left,<<<<<,left,1,328
13,main,congruent,right,>>>>>,right,1,364
14,main,incongruent,right,<<><<,left,0,380
15,main,congruent,right,>>>>>,right,1,395
16,main,incongruent,left,>><>>,left,1,414
17,main,congruent,right,>>>>>,right,1,378
18,main,congruent,right,>>>>>,right,1,394
19,main,incongruent,left,>><>>,left,1,408
20,main,incongruent,left,>><>>,left,1,482
1,practice,incongruent,right,<<><<,right,1,1178
2,practice,incongruent,left,>><>>,left,1,618
3,practice,congruent,left,<<<<<,left,1,521
4,practice,congruent,left,<<<<<,left,1,396
1,main,incongruent,left,>><>>,left,1,718
2,main,incongruent,left,>><>>,left,1,497
3,main,congruent,right,>>>>>,right,1,326
4,main,congruent,right,>>>>>,right,1,361
5,main,congruent,left,<<<<<,left,1,375
6,main,congruent,right,>>>>>,right,1,390
7,main,incongruent,left,>><>>,left,1,463
8,main,congruent,left,<<<<<,left,1,392
9,main,congruent,right,>>>>>,right,1,377
10,main,congruent,right,>>>>>,right,1,513
11,main,congruent,right,>>>>>,right,1,362
12,main,congruent,left,<<<<<,left,1,359
13,main,congruent,right,>>>>>,right,1,374
14,main,incongruent,right,<<><<,left,0,376
15,main,incongruent,left,>><>>,left,1,549
16,main,incongruent,right,<<><<,right,1,546
17,main,congruent,left,<<<<<,left,1,411
18,main,incongruent,right,<<><<,left,0,393
19,main,congruent,right,>>>>>,right,1,446
20,main,congruent,right,>>>>>,right,1,411
1,practice,incongruent,left,>><>>,left,1,1060
2,practice,congruent,left,<<<<<,left,1,623
3,practice,incongruent,left,>><>>,left,1,681
4,practice,incongruent,right,<<><<,right,1,652
1,main,incongruent,right,<<><<,right,1,972
2,main,incongruent,left,>><>>,left,1,564
3,main,incongruent,left,>><>>,left,1,579
4,main,congruent,right,>>>>>,right,1,581
5,main,congruent,left,<<<<<,left,1,447
6,main,congruent,right,>>>>>,right,1,497
7,main,congruent,left,<<<<<,left,1,446
8,main,incongruent,left,>><>>,left,1,497
9,main,congruent,left,<<<<<,left,1,463
10,main,congruent,right,>>>>>,right,1,514
11,main,congruent,left,<<<<<,left,1,395
12,main,incongruent,right,<<><<,right,1,564
13,main,incongruent,left,>><>>,left,1,547
14,main,congruent,left,<<<<<,left,1,431
15,main,congruent,left,<<<<<,left,1,701
16,main,congruent,right,>>>>>,right,1,567
17,main,congruent,left,<<<<<,left,1,463
18,main,incongruent,right,<<><<,right,1,856
19,main,congruent,left,<<<<<,left,1,480
20,main,incongruent,left,>><>>,left,1,464
1,practice,incongruent,right,<<><<,no_response,0,
2,practice,incongruent,right,<<><<,right,1,787
3,practice,congruent,left,<<<<<,right,0,779
4,practice,incongruent,left,>><>>,left,1,584
1,main,congruent,left,<<<<<,left,1,360
2,main,congruent,right,>>>>>,right,1,342
3,main,congruent,right,>>>>>,right,1,377
4,main,incongruent,right,<<><<,right,1,429
5,main,congruent,right,>>>>>,right,1,344
6,main,congruent,right,>>>>>,right,1,276
7,main,congruent,left,<<<<<,left,1,294
8,main,incongruent,left,>><>>,left,1,375
9,main,congruent,right,>>>>>,right,1,312
10,main,congruent,right,>>>>>,right,1,327
11,main,incongruent,right,<<><<,left,0,344
12,main,congruent,right,>>>>>,right,1,344
13,main,congruent,left,<<<<<,left,1,393
14,main,congruent,left,<<<<<,left,1,428
15,main,congruent,right,>>>>>,right,1,327
16,main,incongruent,right,<<><<,left,0,345
17,main,incongruent,right,<<><<,left,0,328
18,main,congruent,left,<<<<<,left,1,378
19,main,incongruent,left,>><>>,left,1,414
20,main,congruent,left,<<<<<,left,1,312
1,practice,incongruent,left,>><>>,left,1,932
2,practice,incongruent,left,>><>>,right,0,940
3,practice,congruent,right,>>>>>,left,0,1262
4,practice,incongruent,left,>><>>,no_response,0,
1,main,congruent,left,<<<<<,left,1,974
2,main,congruent,left,<<<<<,left,1,664
3,main,incongruent,left,>><>>,left,1,857
4,main,incongruent,left,>><>>,left,1,550
5,main,incongruent,right,<<><<,right,1,445
6,main,incongruent,right,<<><<,right,1,446
7,main,incongruent,left,>><>>,left,1,464
8,main,incongruent,left,>><>>,left,1,514
9,main,congruent,right,>>>>>,right,1,311
10,main,incongruent,right,<<><<,right,1,410
11,main,congruent,right,>>>>>,right,1,431
12,main,incongruent,left,>><>>,left,1,443
13,main,incongruent,left,>><>>,right,0,346
14,main,congruent,left,<<<<<,left,1,466
15,main,congruent,left,<<<<<,left,1,527
16,main,congruent,left,<<<<<,left,1,462
17,main,congruent,right,>>>>>,right,1,463
18,main,congruent,left,<<<<<,left,1,567
19,main,incongruent,left,>><>>,left,1,581
20,main,congruent,right,>>>>>,right,1,396
1,practice,congruent,left,<<<<<,left,1,1235
2,practice,congruent,left,<<<<<,left,1,823
3,practice,incongruent,left,>><>>,no_response,0,
4,practice,incongruent,right,<<><<,right,1,788
1,main,congruent,left,<<<<<,left,1,703
2,main,incongruent,left,>><>>,left,1,888
3,main,congruent,right,>>>>>,right,1,585
4,main,incongruent,left,>><>>,left,1,818
5,main,congruent,right,>>>>>,right,1,548
6,main,congruent,left,<<<<<,left,1,514
7,main,incongruent,right,<<><<,right,1,546
8,main,congruent,right,>>>>>,right,1,533
9,main,incongruent,left,>><>>,left,1,680
10,main,incongruent,right,<<><<,right,1,498
11,main,incongruent,right,<<><<,right,1,578
12,main,congruent,right,>>>>>,right,1,464
13,main,congruent,left,<<<<<,left,1,500
14,main,congruent,right,>>>>>,right,1,512
15,main,incongruent,right,<<><<,right,1,875
16,main,incongruent,right,<<><<,right,1,598
17,main,incongruent,left,>><>>,left,1,548
18,main,incongruent,left,>><>>,right,0,648
19,main,congruent,left,<<<<<,left,1,839
20,main,incongruent,left,>><>>,left,1,636
1,practice,incongruent,left,>><>>,left,1,915
2,practice,incongruent,right,<<><<,right,1,531
3,practice,congruent,right,>>>>>,right,1,438
4,practice,incongruent,right,<<><<,left,0,462
1,main,congruent,right,>>>>>,right,1,398
2,main,congruent,right,>>>>>,right,1,428
3,main,incongruent,right,<<><<,right,1,562
4,main,congruent,right,>>>>>,right,1,408
5,main,congruent,left,<<<<<,left,1,464
6,main,congruent,left,<<<<<,left,1,412
7,main,congruent,right,>>>>>,right,1,431
8,main,incongruent,right,<<><<,right,1,548
9,main,incongruent,left,>><>>,left,1,546
10,main,congruent,right,>>>>>,right,1,481
11,main,congruent,right,>>>>>,right,1,497
12,main,congruent,left,<<<<<,left,1,499
13,main,incongruent,right,<<><<,right,1,580
14,main,incongruent,right,<<><<,right,1,548
15,main,congruent,left,<<<<<,left,1,598
16,main,incongruent,right,<<><<,right,1,519
17,main,congruent,left,<<<<<,left,1,577
18,main,incongruent,left,>><>>,left,1,599
19,main,incongruent,right,<<><<,right,1,550
20,main,congruent,right,>>>>>,right,1,414
1,practice,incongruent,right,<<><<,right,1,680
2,practice,congruent,left,<<<<<,left,1,328
3,practice,incongruent,right,<<><<,right,1,426
4,practice,incongruent,left,>><>>,right,0,338
1,main,incongruent,left,>><>>,left,1,514
2,main,incongruent,right,<<><<,right,1,445
3,main,incongruent,left,>><>>,left,1,512
4,main,congruent,right,>>>>>,right,1,377
5,main,congruent,left,<<<<<,left,1,394
6,main,incongruent,right,<<><<,right,1,447
7,main,congruent,right,>>>>>,right,1,376
8,main,incongruent,left,>><>>,left,1,429
9,main,incongruent,left,>><>>,left,1,463
10,main,congruent,left,<<<<<,left,1,394
11,main,congruent,left,<<<<<,left,1,359
12,main,congruent,left,<<<<<,left,1,377
13,main,congruent,left,<<<<<,left,1,359
14,main,incongruent,right,<<><<,right,1,429
15,main,incongruent,right,<<><<,right,1,447
16,main,incongruent,right,<<><<,right,1,514
17,main,incongruent,right,<<><<,right,1,546
18,main,incongruent,left,>><>>,left,1,513
19,main,congruent,left,<<<<<,left,1,394
20,main,incongruent,right,<<><<,right,1,431
1,practice,congruent,left,<<<<<,no_response,0,
2,practice,incongruent,right,<<><<,no_response,0,
3,practice,incongruent,right,<<><<,right,1,699
4,practice,incongruent,right,<<><<,right,1,546
1,main,congruent,left,<<<<<,left,1,948
2,main,incongruent,left,>><>>,left,1,583
3,main,congruent,right,>>>>>,right,1,479
4,main,incongruent,left,>><>>,left,1,532
5,main,congruent,left,<<<<<,left,1,501
6,main,incongruent,left,>><>>,left,1,601
7,main,incongruent,left,>><>>,left,1,497
8,main,incongruent,right,<<><<,right,1,445
9,main,incongruent,left,>><>>,left,1,546
10,main,congruent,left,<<<<<,left,1,447
11,main,congruent,right,>>>>>,right,1,363
12,main,congruent,right,>>>>>,right,1,562
13,main,congruent,left,<<<<<,left,1,446
14,main,incongruent,right,<<><<,right,1,380
15,main,incongruent,right,<<><<,right,1,545
16,main,congruent,right,>>>>>,right,1,542
17,main,congruent,left,<<<<<,left,1,395
18,main,incongruent,left,>><>>,left,1,532
19,main,congruent,right,>>>>>,right,1,481
20,main,congruent,left,<<<<<,left,1,393
1,practice,congruent,left,<<<<<,left,1,951
2,practice,congruent,left,<<<<<,left,1,768
3,practice,incongruent,left,>><>>,right,0,715
4,practice,congruent,right,>>>>>,right,1,653
1,main,congruent,left,<<<<<,left,1,513
2,main,incongruent,right,<<><<,right,1,653
3,main,incongruent,left,>><>>,left,1,1350
4,main,incongruent,left,>><>>,left,1,613
5,main,congruent,left,<<<<<,left,1,686
6,main,incongruent,right,<<><<,right,1,669
7,main,incongruent,left,>><>>,left,1,582
8,main,incongruent,left,>><>>,left,1,651
9,main,congruent,right,>>>>>,right,1,585
10,main,incongruent,right,<<><<,right,1,515
11,main,congruent,left,<<<<<,left,1,501
12,main,congruent,right,>>>>>,right,1,447
13,main,congruent,left,<<<<<,left,1,431
14,main,incongruent,left,>><>>,left,1,479
15,main,incongruent,left,>><>>,left,1,650
16,main,congruent,left,<<<<<,left,1,480
17,main,congruent,left,<<<<<,left,1,446
18,main,congruent,left,<<<<<,left,1,430
19,main,congruent,left,<<<<<,left,1,429
20,main,congruent,right,>>>>>,right,1,413
1,practice,incongruent,left,>><>>,left,1,2010
2,practice,incongruent,left,>><>>,left,1,792
3,practice,congruent,left,<<<<<,left,1,701
4,practice,congruent,right,>>>>>,right,1,511
1,main,congruent,left,<<<<<,left,1,596
2,main,congruent,left,<<<<<,left,1,478
3,main,congruent,right,>>>>>,right,1,496
4,main,incongruent,left,>><>>,left,1,682
5,main,incongruent,right,<<><<,right,1,683
6,main,incongruent,right,<<><<,right,1,584
7,main,incongruent,right,<<><<,right,1,550
8,main,incongruent,right,<<><<,right,1,582
9,main,congruent,left,<<<<<,left,1,463
10,main,congruent,right,>>>>>,right,1,481
11,main,congruent,right,>>>>>,right,1,481
12,main,congruent,left,<<<<<,left,1,426
13,main,incongruent,left,>><>>,left,1,581
14,main,incongruent,right,<<><<,right,1,567
15,main,congruent,left,<<<<<,left,1,480
16,main,incongruent,right,<<><<,right,1,565
17,main,incongruent,left,>><>>,left,1,515
18,main,incongruent,left,>><>>,left,1,581
19,main,incongruent,left,>><>>,left,1,514
20,main,congruent,left,<<<<<,left,1,582
1,practice,congruent,right,>>>>>,right,1,597
2,practice,incongruent,right,<<><<,right,1,590
3,practice,incongruent,left,>><>>,left,1,495
4,practice,incongruent,left,>><>>,right,0,397
1,main,congruent,left,<<<<<,left,1,567
2,main,incongruent,right,<<><<,right,1,532
3,main,congruent,right,>>>>>,right,1,479
4,main,incongruent,right,<<><<,right,1,548
5,main,incongruent,right,<<><<,right,1,602
6,main,congruent,right,>>>>>,right,1,429
7,main,incongruent,right,<<><<,right,1,567
8,main,congruent,right,>>>>>,right,1,445
9,main,congruent,left,<<<<<,left,1,394
10,main,incongruent,left,>><>>,left,1,567
11,main,incongruent,left,>><>>,left,1,497
12,main,incongruent,right,<<><<,right,1,596
13,main,congruent,right,>>>>>,right,1,429
14,main,incongruent,right,<<><<,right,1,626
15,main,incongruent,left,>><>>,left,1,497
16,main,congruent,right,>>>>>,right,1,463
17,main,congruent,left,<<<<<,left,1,394
18,main,congruent,right,>>>>>,right,1,362
19,main,congruent,left,<<<<<,left,1,362
20,main,congruent,right,>>>>>,right,1,446
1,practice,incongruent,right,<<><<,no_response,0,
2,practice,congruent,right,>>>>>,right,1,963
3,practice,incongruent,right,<<><<,no_response,0,
4,practice,incongruent,right,<<><<,left,0,665
1,main,congruent,left,<<<<<,left,1,481
2,main,congruent,right,>>>>>,right,1,396
3,main,congruent,right,>>>>>,right,1,386
4,main,incongruent,left,>><>>,left,1,395
5,main,congruent,right,>>>>>,right,1,344
6,main,incongruent,left,>><>>,left,1,410
7,main,incongruent,left,>><>>,right,0,396
8,main,incongruent,left,>><>>,left,1,429
9,main,incongruent,left,>><>>,left,1,411
10,main,incongruent,left,>><>>,right,0,328
11,main,incongruent,left,>><>>,left,1,325
12,main,congruent,left,<<<<<,left,1,328
13,main,congruent,left,<<<<<,left,1,327
14,main,congruent,left,<<<<<,left,1,292
15,main,congruent,left,<<<<<,left,1,243
16,main,congruent,left,<<<<<,left,1,277
17,main,congruent,left,<<<<<,left,1,244
18,main,congruent,right,>>>>>,left,0,311
19,main,congruent,right,>>>>>,right,1,347
20,main,congruent,left,<<<<<,left,1,292
1,practice,congruent,left,<<<<<,left,1,1490
2,practice,incongruent,left,>><>>,right,0,293
3,practice,congruent,right,>>>>>,right,1,554
4,practice,congruent,left,<<<<<,left,1,329
1,main,incongruent,right,<<><<,right,1,635
2,main,incongruent,right,<<><<,left,0,513
3,main,congruent,left,<<<<<,left,1,548
4,main,congruent,right,>>>>>,right,1,310
5,main,congruent,right,>>>>>,left,0,276
6,main,congruent,right,>>>>>,right,1,464
7,main,incongruent,right,<<><<,left,0,362
8,main,incongruent,left,>><>>,right,0,735
9,main,congruent,right,>>>>>,right,1,548
10,main,incongruent,right,<<><<,left,1,566
11,main,incongruent,left,>><>>,right,0,699
12,main,congruent,right,>>>>>,right,1,819
13,main,congruent,right,>>>>>,right,1,531
14,main,incongruent,left,>><>>,no_response,0,
15,main,congruent,left,<<<<<,left,1,531
16,main,congruent,right,>>>>>,right,1,414
17,main,incongruent,right,<<><<,right,1,665
18,main,incongruent,left,>><>>,right,0,939
19,main,incongruent,right,<<><<,left,1,702
20,main,incongruent,left,>><>>,right,0,666
